x,freq
augusto,1
aun,1
ausente,1
autoridad,1
ay,1
bastese,1
belleza,1
bestia,1
bien,1
bocado,1
bolverla,1
brevedad,1
brios,1
cabeças,1
cabo,1
caïdo,1
calidad,1
camello,1
cantidad,1
capitanes,1
caracter,1
casa,1
casta,1
castigo,1
caudal,1
cautela,1
cavallos,1
cesso,1
cinquenta,1
clarin,1
cobrar,1
cobro,1
complemento,1
concebir,1
conci,1
concurso,1
condicion,1
confidencia,1
cono,1
conocido,1
conocimiento,1
conpita,1
conseguir,1
consideracion,1
consulta,1
contingencia,1
contradicion,1
contraste,1
cordel,1
corinto,1
corte,1
cortesia,1
cortesias,1
corteza,1
costumbre,1
crates,1
crimen,1
ctamen,1
cuento,1
cuer,1
culpa,1
cultura,1
culturo,1
cura,1
curiosidad,1
daño,1
decencia,1
decoro,1
dedo,1
delito,1
delsufrimiento,1
demencia,1
dependencia,1
dependera,1
desaire,1
desatinadamen,1
descaramiento,1
descontento,1
descortés,1
descu,1
desdicha,1
desembaraço,1
desigualdad,1
desliz,1
despejo,1
despre,1
desproposito,1
destos,1
desvanecimiento,1
detencion,1
detenido,1
dexar,1
dexen,1
dezidores,1
dicha,1
dien,1
dificultad,1
dios,1
direccion,1
disposicion,1
distanci,1
divinidad,1
dormia,1
duda,1
edad,1
eleccion,1
eloquencia,1
embes,1
enanos,1
ensalçado,1
ensanche,1
ensenada,1
entendido,1
entereza,1
entrase,1
epicteto,1
equanimidad,1
escasezes,1
escrupulos,1
esfera,1
espacio,1
espe,1
especulacion,1
espejo,1
esperança,1
esperanza,1
esse,1
essencias,1
estancia,1
estima,1
estimaci,1
estio,1
estomago,1
estrangeros,1
estrellas,1
estremos,1
excepcion,1
expectacion,1
extensión,1
exterior,1
extremo,1
fabricaronles,1
falsificador,1
falta,1
familiar,1
farragos,1
fe,1
feccion,1
fiança,1
flaqueza,1
formmal,1
fortu,1
fruic,1
fruto,1
fueron,1
fuesse,1
fuga,1
furor,1
ganzua,1
gen,1
generalidad,1
gigantes,1
gloria,1
gramatico,1
guaje,1
guerrilla,1
hablar,1
hambre,1
hanse,1
hartazgo,1
haz,1
haze,1
hazensele,1
hechizo,1
hecho,1
hermano,1
heroe,1
homero,1
hora,1
humanidad,1
identidad,1
ignorancia,1
ignorante,1
imaginaci,1
imperfección,1
impetu,1
impetus,1
importancia,1
incomprehensibilidad,1
indicio,1
indiferencia,1
indisposicion,1
inferioridad,1
inmortalidad,1
insolencia,1
instante,1
intencion,1
intención,1
intensión,1
intento,1
interior,1
intimidad,1
inventiva,1
invierno,1
ir,1
jara,1
jornada,1
juizo,1
lada,1
las,1
libro,1
licidad,1
liebre,1
lindo,1
lisonja,1
liviandad,1
lleno,1
logro,1
lugar,1
luna,1
madre,1
madurez,1
magnanimidad,1
magnitud,1
malevolos,1
malilla,1
mas,1
maxima,1
mayorazgo,1
medianias,1
melancolico,1
mercaderia,1
milicia,1
mira,1
mirar,1
misterio,1
mitad,1
moderacion,1
moderarse,1
mona,1
monta,1
monte,1
moralidad,1
motivo,1
muchas,1
muerte,1
muerto,1
muestra,1
muleta,1
multipli,1
murmuracion,1
mutabilidad,1
nadador,1
naire,1
naranja,1
negociante,1
noche,1
nombre,1
nota,1
objeto,1
obrador,1
obrar,1
ocio,1
odio,1
ojo,1
omission,1
ornato,1
ostracismo,1
pabon,1
paciencia,1
pacificos,1
pagarse,1
pais,1
paladar,1
participante,1
parto,1
passa,1
passe,1
passo,1
peca,1
pelea,1
pendencia,1
peño,1
percion,1
peregrino,1
permitirse,1
perro,1
perso,1
piel,1
pieza,1
plaça,1
plausibilidad,1
plazer,1
pleito,1
pluma,1
poder,1
podria,1
polilla,1
porfiado,1
portillo,1
posser,1
possession,1
preciavase,1
preciese,1
presencia,1
presteza,1
prevenir,1
prevenirse,1
principio,1
privacion,1
privilegio,1
probabi,1
proceder,1
propiedad,1
prosperidad,1
provision,1
publicidad,1
pudiesse,1
puedenle,1
puerto,1
puntillo,1
punto,1
puntualidad,1
qualquiera,1
quando,1
quarenta,1
rato,1
razon,1
realce,1
realidad,1
rebiente,1
reduziendolo,1
reliquia,1
remonte,1
reparo,1
repassion,1
repelo,1
reporte,1
requisito,1
reslexion,1
resolucion,1
restante,1
retiro,1
rey,1
rezelo,1
ria,1
ridad,1
rigor,1
rodeo,1
ruindad,1
rumbo,1
sagacidad,1
sagrado,1
salida,1
salutacion,1
sea,1
segundo,1
sello,1
semblante,1
semejança,1
sen,1
senda,1
señor,1
sentido,1
sentimiento,1
sentir,1
sepase,1
serpiente,1
sicilianos,1
silenciario,1
silencio,1
simplicidad,1
sin,1
singular,1
sobra,1
solo,1
sombra,1
sonlo,1
sufrimiento,1
sugeto,1
sujecion,1
sumo,1
suspendio,1
suspension,1
teatro,1
tematicos,1
temor,1
tendra,1
termin,1
teson,1
testamen,1
tienese,1
tierra,1
tirano,1
titudes,1
toma,1
torbellino,1
trabajo,1
trago,1
traicion,1
trocóse,1
tropiezo,1
universo,1
usar,1
usufructo,1
utilidad,1
vado,1
variedad,1
varon,1
vencimiento,1
veneno,1
veneracion,1
venta,1
venza,1
verguença,1
vicio,1
vidrio,1
vir,1
virtud,1
viso,1
vista,1
viva,1
vna,1
